Company Name,CIK
BRAINSTORM CELL THERAPEUTICS INC.,1137883
"BRANDYWINE OPERATING PARTNERSHIP, L.P.",1060386
BRANDYWINE REALTY TRUST,790816
BRE Select Hotels Corp,1566445
BRIDGE BANCORP INC,846617
BRIGGS & STRATTON CORP,14195
BRIGHT HORIZONS FAMILY SOLUTIONS INC.,1437578
BRIGHTCOVE INC,1313275
BRIGHTLANE CORP.,1425289
BRINKER INTERNATIONAL INC,703351
BRINKS CO,78890
BRISTOL MYERS SQUIBB CO,14272
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",1383312
"BROADSOFT, INC.",1086909
BROADVIEW NETWORKS HOLDINGS INC,1104358
BROADVISION INC,920448
BROADWAY FINANCIAL CORP \DE\,1001171
"BROADWIND ENERGY, INC.",1120370
BROOKLINE BANCORP INC,1049782
BROWN & BROWN INC,79282
BRUKER CORP,1109354
BRUNSWICK CORP,14930
BRYN MAWR BANK CORP,802681
"BSB Bancorp, Inc.",1522420
BSQUARE CORP /WA,1054721
BTHC X INC,1375685
"BUCKEYE PARTNERS, L.P.",805022
BUFFALO WILD WINGS INC,1062449
BUILD A BEAR WORKSHOP INC,1113809
"BURLINGTON NORTHERN SANTA FE, LLC",934612
BURZYNSKI RESEARCH INSTITUTE INC,724445
"BWX Technologies, Inc.",1486957
"Babcock & Wilcox Enterprises, Inc.",1630805
"Baixo Relocation Services, Inc.",1609988
"Balance Labs, Inc.",1632121
Balincan International Inc.,1642365
"Bancorp 34, Inc.",1668340
"Bancorp of New Jersey, Inc.",1390312
"Bancorp, Inc.",1295401
Bang Holdings Corp.,1632323
Bank of Commerce Holdings,702513
Bank of Marin Bancorp,1403475
Bank of New York Mellon Corp,1390777
BankFinancial CORP,1303942
BankGuam Holding Co,1527383
"BankUnited, Inc.",1504008
"Bankrate, Inc.",1518222
"Bankwell Financial Group, Inc.",1505732
Banyan Rail Services Inc.,764897
"Bats Global Markets, Inc.",1659228
Baying Ecological Holding Group Inc.,1333519
"Be Active Holdings, Inc.",1514514
"Behringer Harvard Opportunity REIT I, Inc.",1308711
"Behringer Harvard Opportunity REIT II, Inc.",1387061
"BeiGene, Ltd.",1651308
"Bellerophon Therapeutics, Inc.",1600132
Belmond Ltd.,1115836
"Ben Franklin Financial, Inc.",1618798
Beneficial Bancorp Inc.,1615418
"Benefitfocus,Inc.",1576169
"Bergio International, Inc.",1431074
"Berry Petroleum Company, LLC",778438
"Best Hometown Bancorp, Inc.",1667840
Bio-AMD Inc.,1370030
Bio-En Holdings Corp.,1568139
BioAmber Inc.,1534287
BioCorRx Inc.,1443863
"BioRestorative Therapies, Inc.",1505497
"BioScrip, Inc.",1014739
"BioSig Technologies, Inc.",1530766
BioSolar Inc,1371128
"BioTelemetry, Inc.",1574774
Bionik Laboratories Corp.,1508381
Biopower Operations Corp,1510832
"Biostage, Inc.",1563665
"Biostar Pharmaceuticals, Inc.",1418133
"Biotech Products Services & Research, Inc.",1557376
"Black Diamond, Inc.",913277
"Black Knight Financial Services, Inc.",1627014
"Black Ridge Oil & Gas, Inc.",1490161
"Black Stone Minerals, L.P.",1621434
BlackRock Capital Investment Corp,1326003
BlackRock Inc.,1364742
Blackstone Group L.P.,1393818
"Blackstone Real Estate Income Trust, Inc.",1662972
"Bloomin' Brands, Inc.",1546417
Blow & Drive Interlock Corp,1586495
"Blox, Inc.",1428389
"Blue Buffalo Pet Products, Inc.",1609989
Blue Capital Reinsurance Holdings Ltd.,1582086
"Blue Hills Bancorp, Inc.",1601545
"Blue Line Protection Group, Inc.",1416697
Blue Spa Inc,1500305
"Blue Water Bar & Grill, Inc.",1593470
BlueLinx Holdings Inc.,1301787
"Bluefire Renewables, Inc.",1370489
"Blueknight Energy Partners, L.P.",1392091
Blueprint Medicines Corp,1597264
"Bluerock Residential Growth REIT, Inc.",1442626
"Bnet Media Group, Inc.",1501268
"Boardwalk Pipeline Partners, LP",1336047
"BofI Holding, Inc.",1299709
"Bojangles', Inc.",1630132
"Bonanza Creek Energy, Inc.",1509589
Bone Biologics Corp,1419554
"Boot Barn Holdings, Inc.",1610250
Booz Allen Hamilton Holding Corp,1443646
"Boston Therapeutics, Inc.",1473579
Bosy Holdings Corp.,1652842
"Bravo Brio Restaurant Group, Inc.",1495479
"Brazil Minerals, Inc.",1540684
Breitburn Energy Partners LP,1357371
Brekford Corp.,1357115
Brenham Oil & Gas Corp.,1501720
Bridgepoint Education Inc,1305323
"Bright Mountain Media, Inc.",1568385
"Brisset Beer International, Inc.",1495648
Bristow Group Inc,73887
Brixmor Operating Partnership LP,1630031
Brixmor Property Group Inc.,1581068
Brookdale Senior Living Inc.,1332349
Brookfield DTLA Fund Office Trust Investor Inc.,1575311
"Brownie's Marine Group, Inc",1166708
"Builders FirstSource, Inc.",1316835
Bullfrog Gold Corp.,1448597
Bunge LTD,1144519
"Burlington Stores, Inc.",1579298
Buscar Co,1518380
Business Development Corp of America,1490927
"Business First Bancshares, Inc.",1624322
"Butte Highlands Mining Company, Inc.",1455926
C & C TOURS INC,1430319
C & F FINANCIAL CORP,913341
C H ROBINSON WORLDWIDE INC,1043277
C&J Energy Services Ltd.,1615817
"CA, INC.",356028
CABELAS INC,1267130
CABOT OIL & GAS CORP,858470
"CACHET FINANCIAL SOLUTIONS, INC.",1487906
CACI INTERNATIONAL INC /DE/,16058
CADENCE DESIGN SYSTEMS INC,813672
CADIZ INC,727273
CADUS CORP,911148
CAESARS ENTERTAINMENT Corp,858339
CAFEPRESS INC.,1117733
"CAI International, Inc.",1388430
CALEMINDER INC,1611019
CALGON CARBON Corp,812701
CALIFORNIA FIRST NATIONAL BANCORP,803016
CALIFORNIA WATER SERVICE GROUP,1035201
"CALIX, INC",1406666
CALLAWAY GOLF CO,837465
CALLIDUS SOFTWARE INC,1035748
CALLON PETROLEUM CO,928022
CALPINE CORP,916457
"CAMBIUM LEARNING GROUP, INC.",1466815
CAMBREX CORP,820081
CAMDEN NATIONAL CORP,750686
CAMDEN PROPERTY TRUST,906345
CAMPBELL FUND TRUST,1043951
CAMPBELL STRATEGIC ALLOCATION FUND LP,910467
CANADIAN PACIFIC RAILWAY LTD/CN,16875
CANCER CAPITAL CORP,1130889
"CANCER GENETICS, INC",1349929
"CANNABIS SCIENCE, INC.",1024626
CANNASYS INC,1417028
CAPELLA EDUCATION CO,1104349
CAPITAL CITY BANK GROUP INC,726601
CAPITAL ONE FINANCIAL CORP,927628
CAPITAL PROPERTIES INC /RI/,202947
CAPITAL SENIOR LIVING CORP,1043000
CAPITAL SOUTHWEST CORP,17313
"CAPRICOR THERAPEUTICS, INC.",1133869
CAPSTEAD MORTGAGE CORP,766701
"CAPSTONE COMPANIES, INC.",814926
CAPSTONE TURBINE Corp,1009759
CARBO CERAMICS INC,1009672
"CARDAX, INC.",1544238
CARDINAL FINANCIAL CORP,1060523
CARDINAL HEALTH INC,721371
CAREER EDUCATION CORP,1046568
CARLISLE COMPANIES INC,790051
CARMAX INC,1170010
CARMIKE CINEMAS INC,799088
"CAROLCO PICTURES, INC.",1484769
CAROLINA BANK HOLDINGS INC,1127160
CAROLINA FINANCIAL CORP,870385
CARPENTER TECHNOLOGY CORP,17843
CARRIAGE SERVICES INC,1016281
CARRIZO OIL & GAS INC,1040593
"CARROLS RESTAURANT GROUP, INC.",809248
CARTERS INC,1060822
CARVER BANCORP INC,1016178
CAS MEDICAL SYSTEMS INC,764579
CASCADE BANCORP,865911
CASELLA WASTE SYSTEMS INC,911177
"CASI Pharmaceuticals, Inc.",895051
CASS INFORMATION SYSTEMS INC,708781
CASTLE A M & CO,18172
CASTLE GROUP INC,918543
"CASTLIGHT HEALTH, INC.",1433714
CAT9 Group Inc.,1632275
CATABASIS PHARMACEUTICALS INC,1454789
"CATALYST BIOSCIENCES, INC.",1124105
"CATALYST PHARMACEUTICALS, INC.",1369568
"CATASYS, INC.",1136174
CATERPILLAR FINANCIAL SERVICES CORP,764764
CATERPILLAR INC,18230
CATHAY GENERAL BANCORP,861842
CATO CORP,18255
CAVCO INDUSTRIES INC,278166
"CAVIUM, INC.",1175609
"CB Financial Services, Inc.",1605301
"CBIZ, Inc.",944148
CBL & ASSOCIATES LIMITED PARTNERSHIP,915140
CBL & ASSOCIATES PROPERTIES INC,910612
"CBOE Holdings, Inc.",1374310
"CBRE GROUP, INC.",1138118
CBS CORP,813828
CC Holdings GS V LLC,1574291
CCA INDUSTRIES INC,721447
CCO HOLDINGS CAPITAL CORP,1271834
CCO HOLDINGS LLC,1271833
CDI CORP,18396
"CDK Global, Inc.",1609702
CDW Corp,1402057
CEB Inc.,1066104
CEC ENTERTAINMENT INC,813920
CECO ENVIRONMENTAL CORP,3197
CEDAR FAIR L P,811532
"CEDAR REALTY TRUST, INC.",761648
"CEFC GLOBAL STRATEGIC HOLDINGS, INC.",1519955
CELADON GROUP INC,865941
CELGENE CORP /DE/,816284
"CEMPRA, INC.",1461993
CEN BIOTECH INC,1653821
CENTENE CORP,1071739
CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,48732
CENTERPOINT ENERGY INC,1130310
CENTERPOINT ENERGY RESOURCES CORP,1042773
CENTRAL EUROPEAN MEDIA ENTERPRISES LTD,925645
CENTRAL FEDERAL CORP,1070680
CENTRAL PACIFIC FINANCIAL CORP,701347
CENTRAL VALLEY COMMUNITY BANCORP,1127371
CENTRUE FINANCIAL CORP,1019650
CENTRUS ENERGY CORP,1065059
CENTURY ALUMINUM CO,949157
CENTURY BANCORP INC,812348
CENTURY CASINOS INC /CO/,911147
"CENTURYLINK, INC",18926
"CENVEO, INC",920321
CEPHEID,1037760
CEREBAIN BIOTECH CORP.,1453099
CERNER CORP /MO/,804753
CERUS CORP,1020214
"CES Synergies, Inc.",1556508
CESCA THERAPEUTICS INC.,811212
CEVA INC,1173489
CF Corp,1668428
"CF Industries Holdings, Inc.",1324404
CHANNELADVISOR CORP,1169652
CHARLES & COLVARD LTD,1015155
CHARLES RIVER LABORATORIES INTERNATIONAL INC,1100682
CHART INDUSTRIES INC,892553
"CHARTER COMMUNICATIONS, INC. /MO/",1091667
CHASE GENERAL CORP,15357
CHASE PACKAGING CORP,1025771
CHEESECAKE FACTORY INC,887596
"CHEETAH ENTERPRISES, INC.",1637197
"CHEGG, INC",1364954
"CHEMBIO DIAGNOSTICS, INC.",1092662
CHEMED CORP,19584
CHEMICAL FINANCIAL CORP,19612
CHEMUNG FINANCIAL CORP,763563
CHENIERE ENERGY INC,3570
CHESAPEAKE ENERGY CORP,895126
CHESAPEAKE GRANITE WASH TRUST,1524769
CHESAPEAKE UTILITIES CORP,19745
CHEVRON CORP,93410
"CHIASMA, INC",1339469
CHICAGO BRIDGE & IRON CO N V,1027884
CHICAGO RIVET & MACHINE CO,19871
CHICOS FAS INC,897429
CHIMERA INVESTMENT CORP,1409493
CHIMERIX INC,1117480
CHINA AUTOMOTIVE SYSTEMS INC,1157762
"CHINA CHANGJIANG MINING & NEW ENERGY COMPANY, LTD.",29952
"CHINA GEWANG BIOTECHNOLOGY, INC.",1489902
"CHINA JO-JO DRUGSTORES, INC.",1413263
CHINA LONGYI GROUP INTERNATIONAL HOLDINGS LTD,1010566
CHINA MEDIA INC.,1434674
"CHINA PHARMA HOLDINGS, INC.",1106644
CHINA RECYCLING ENERGY CORP,721693
CHINAWE COM INC,1043222
CHIPOTLE MEXICAN GRILL INC,1058090
CHOICE HOTELS INTERNATIONAL INC /DE,1046311
CHOICEONE FINANCIAL SERVICES INC,803164
CHUGACH ELECTRIC ASSOCIATION INC,878004
CHURCH & DWIGHT CO INC /DE/,313927
CHURCHILL DOWNS Inc,20212
"CHUY'S HOLDINGS, INC.",1524931
CIBER INC,918581
CICERO INC,945384
CIFC LLC,1649709
CIGNA CORP,701221
CIM Commercial Trust Corp,908311
CIMAREX ENERGY CO,1168054
CIMPRESS N.V.,1262976
CINCINNATI BELL INC,716133
CINCINNATI FINANCIAL CORP,20286
CINEMARK USA INC /TX,885975
CINTAS CORP,723254
CION Investment Corp,1534254
CIRCOR INTERNATIONAL INC,1091883
CIRRUS LOGIC INC,772406
"CISCO SYSTEMS, INC.",858877
CIT GROUP INC,1171825
CITIGROUP INC,831001
CITIZENS & NORTHERN CORP,810958
CITIZENS BANCSHARES CORP /GA/,813640
CITIZENS FINANCIAL GROUP INC/RI,759944
CITIZENS FINANCIAL SERVICES INC,739421
CITIZENS FIRST CORP,1073475
CITIZENS HOLDING CO /MS/,1075706
CITIZENS INC,24090
CITRIX SYSTEMS INC,877890
CITY HOLDING CO,726854
"CIVISTA BANCSHARES, INC.",944745
"CKX LANDS, INC.",352955
CLAYTON WILLIAMS ENERGY INC /DE,880115
CLEAN DIESEL TECHNOLOGIES INC,949428
CLEAN HARBORS INC,822818
CLEARONE INC,840715
CLEARSIGN COMBUSTION CORP,1434524
CLECO POWER LLC,18672
CLEVELAND BIOLABS INC,1318641
CLIFFS NATURAL RESOURCES INC.,764065
CLOROX CO /DE/,21076
CLOUD PEAK ENERGY INC.,1441849
CLOUD SECURITY CORP.,1516079
"CLOUDCOMMERCE, INC.",743758
"CLS Holdings USA, Inc.",1522222
CM Finance Inc,1578348
CME GROUP INC.,1156375
CMS ENERGY CORP,811156
CN Resources Inc.,1494809
CNA FINANCIAL CORP,21175
CNB FINANCIAL CORP/PA,736772
CNH Industrial Capital LLC,1552493
"CNL Growth Properties, Inc.",1452168
"CNL Healthcare Properties II, Inc.",1648383
"CNL Healthcare Properties, Inc.",1496454
CNL LIFESTYLE PROPERTIES INC,1261159
"CNO Financial Group, Inc.",1224608
CNX Coal Resources LP,1637558
COACH INC,1116132
COATES INTERNATIONAL LTD \DE\,948426
COBIZ FINANCIAL INC,1028734
COCA COLA BOTTLING CO CONSOLIDATED /DE/,317540
COCA COLA CO,21344
CODE GREEN APPAREL CORP,1444403
CODEXIS INC,1200375
CODORUS VALLEY BANCORP INC,806279
"COGENT COMMUNICATIONS HOLDINGS, INC.",1158324
COGENTIX MEDICAL INC /DE/,894237
COGNEX CORP,851205
COGNIZANT TECHNOLOGY SOLUTIONS CORP,1058290
COHEN & STEERS INC,1284812
COHU INC,21535
"COLE CREDIT PROPERTY TRUST IV, INC.",1498547
"COLE REAL ESTATE INCOME STRATEGY (DAILY NAV), INC.",1498542
COLGATE PALMOLIVE CO,21665
COLLECTORS UNIVERSE INC,1089143
"COLLEGIUM PHARMACEUTICAL, INC",1267565
COLONY BANKCORP INC,711669
COLUMBIA BANKING SYSTEM INC,887343
"COLUMBIA PROPERTY TRUST, INC.",1252849
COLUMBIA SPORTSWEAR CO,1050797
COLUMBUS MCKINNON CORP,1005229
COMCAST CORP,1166691
COMERICA INC /NEW/,28412
COMFORT SYSTEMS USA INC,1035983
COMMAND SECURITY CORP,864509
COMMERCE BANCSHARES INC /MO/,22356
COMMERCIAL BANCSHARES INC \OH\,1009976
COMMITTED CAPITAL ACQUISITION Corp II,1539892
COMMODITY ADVISORS FUND L.P.,1369628
COMMONWEALTH EDISON CO,22606
COMMONWEALTH INCOME & GROWTH FUND IV,1141615
COMMONWEALTH INCOME & GROWTH FUND V,1253347
"COMMUNICATIONS SALES & LEASING, INC.",1620280
COMMUNICATIONS SYSTEMS INC,22701
COMMUNITY BANCORP /VT,718413
"COMMUNITY BANK SYSTEM, INC.",723188
COMMUNITY FINANCIAL CORP /MD/,855874
COMMUNITY FIRST INC,1179500
COMMUNITY HEALTH SYSTEMS INC,1108109
COMMUNITY SHORES BANK CORP,1070523
COMMUNITY TRUST BANCORP INC /KY/,350852
COMMUNITY WEST BANCSHARES /,1051343
COMMVAULT SYSTEMS INC,1169561
COMPASS MINERALS INTERNATIONAL INC,1227654
COMPETITIVE COMPANIES INC,1161706
COMPUTER PROGRAMS & SYSTEMS INC,1169445
COMPUTER SCIENCES CORP,23082
COMPUTER TASK GROUP INC,23111
COMPX INTERNATIONAL INC,1049606
COMSTOCK RESOURCES INC,23194
CONAGRA FOODS INC /DE/,23217
"CONCERT PHARMACEUTICALS, INC.",1367920
CONCHO RESOURCES INC,1358071
CONCIERGE TECHNOLOGIES INC,1005101
CONCURRENT COMPUTER CORP/DE,749038
"CONDOR HOSPITALITY TRUST, INC.",929545
CONDUENT Inc,1677703
CONE Midstream Partners LP,1610418
CONMED CORP,816956
CONNECTICUT LIGHT & POWER CO,23426
CONNECTICUT WATER SERVICE INC / CT,276209
CONNECTURE INC,1211759
CONOCOPHILLIPS,1163165
CONSOL Energy Inc,1070412
CONSOLIDATED EDISON CO OF NEW YORK INC,23632
CONSOLIDATED EDISON INC,1047862
"CONSOLIDATED GEMS, INC.",1423417
CONSOLIDATED TOMOKA LAND CO,23795
CONSOLIDATED WATER CO LTD,928340
"CONSTELLATION BRANDS, INC.",16918
CONSUMER PORTFOLIO SERVICES INC,889609
CONSUMERS BANCORP INC /OH/,1006830
CONSUMERS ENERGY CO,201533
CONTANGO OIL & GAS CO,1071993
CONTINENTAL MATERIALS CORP,24104
CONTINENTAL RAIL CORP,1601280
"CONTINENTAL RESOURCES, INC",732834
CONTRAFECT Corp,1478069
CONTROL4 CORP,1259515
CONVERGYS CORP,1062047
"COOL TECHNOLOGIES, INC.",1399352
COOPER TIRE & RUBBER CO,24491
"COPsync, Inc.",1383154
CORCEPT THERAPEUTICS INC,1088856
CORE LABORATORIES N V,1000229
CORE MOLDING TECHNOLOGIES INC,1026655
"CORELOGIC, INC.",36047
CORNING INC /NY,24741
CORPORATE OFFICE PROPERTIES TRUST,860546
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC,1558235
CORRECTIONS CORP OF AMERICA,1070985
CORTLAND BANCORP INC,774569
CORVEL CORP,874866
COSTAR GROUP INC,1057352
COTT CORP /CN/,884713
COTY INC.,1024305
COUSINS PROPERTIES INC,25232
COVANTA HOLDING CORP,225648
COVENANT TRANSPORTATION GROUP INC,928658
"COWEN GROUP, INC.",1466538
CPG OpCo GP LLC,1667153
CPG OpCo LP,1667154
CPI AEROSTRUCTURES INC,889348
CPI Card Group Inc.,1641614
CPS TECHNOLOGIES CORP/DE/,814676
"CPSM, Inc.",1425203
"CRA INTERNATIONAL, INC.",1053706
"CRACKER BARREL OLD COUNTRY STORE, INC",1067294
"CRAFT BREW ALLIANCE, INC.",892222
CRANE CO /DE/,25445
CRAWFORD & CO,25475
CRAY INC,949158
"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",1187953
"CREATIVE REALITIES, INC.",1356093
CREDEX CORP,1432939
CREDIT ACCEPTANCE CORP,885550
CREDIT ONE FINANCIAL INC,1201135
CREDITRISKMONITOR COM INC,315958
CREE INC,895419
CRISPR Therapeutics AG,1674416
CROSS COUNTRY HEALTHCARE INC,1141103
CROSS TIMBERS ROYALTY TRUST,881787
"CROSSROADS CAPITAL, INC.",1444706
CROWN CASTLE INTERNATIONAL CORP,1051470
CROWN CRAFTS INC,25895
CROWN HOLDINGS INC,1219601
CROWN MARKETING,1098009
CRYO CELL INTERNATIONAL INC,862692
CRYOLIFE INC,784199
CSB BANCORP INC /OH,880417
CSG SYSTEMS INTERNATIONAL INC,1005757
CSI Compressco LP,1449488
CSRA Inc.,1646383
CSS INDUSTRIES INC,20629
"CST BRANDS, INC.",1562039
"CSW INDUSTRIALS, INC.",1624794
CSX CORP,277948
CTD HOLDINGS INC,922247
CTI BIOPHARMA CORP,891293
CTI INDUSTRIES CORP,1042187
CTS CORP,26058
CU Bancorp,1543643
CUBESCAPE INC,1648087
"CUI Global, Inc.",1108967
"CULLEN/FROST BANKERS, INC.",39263
CUMBERLAND PHARMACEUTICALS INC,1087294
CUMMINS INC,26172
CUMULUS MEDIA INC,1058623
CURIS INC,1108205
CURTISS WRIGHT CORP,26324
CUTERA INC,1162461
"CV Sciences, Inc.",1510964
CVB FINANCIAL CORP,354647
CVD EQUIPMENT CORP,766792
CVENT INC,1122897
CVR ENERGY INC,1376139
"CVR PARTNERS, LP",1425292
"CVR Refining, LP",1558785
CVS HEALTH Corp,64803
CYANOTECH CORP,768408
CYBEROPTICS CORP,768411
CYNOSURE INC,885306
CYPRESS SEMICONDUCTOR CORP /DE/,791915
"CYS Investments, Inc.",1396446
CYTOKINETICS INC,1061983
"CYTORI THERAPEUTICS, INC.",1095981
CYTRX CORP,799698
"Cable One, Inc.",1632127
Caesars Acquisition Co,1575879
"Caesars Entertainment Resort Properties, LLC",1610979
"Caesars Growth Properties Holdings, LLC",1635863
"CalAtlantic Group, Inc.",878560
"Caladrius Biosciences, Inc.",320017
"Calamos Asset Management, Inc. /DE/",1299033
California Resources Corp,1609253
"Calithera Biosciences, Inc.",1496671
"Calumet Specialty Products Partners, L.P.",1340122
"Camping World Holdings, Inc.",1669779
"Canfield Medical Supply, Inc.",1553788
"CannaMED Enterprises, Inc.",1623016
"Cannabis Sativa, Inc.",1360442
Cantabio Pharmaceuticals Inc.,1550518
Canterbury Park Holding Corp,1672909
"CapStar Financial Holdings, Inc.",1676479
Capital Bank Financial Corp.,1479750
"Capital Financial Holdings, Inc",944696
Capitala Finance Corp.,1571329
Capitol Acquisition Corp. III,1648955
"Capnia, Inc.",1484565
Capstone Therapeutics Corp.,887151
"Car Charging Group, Inc.",1429764
"Cara Therapeutics, Inc.",1346830
Carbon Natural Gas Co,86264
"Carbon Sciences, Inc.",1407878
Carbonite Inc,1340127
"Carbylan Therapeutics, Inc.",1348911
CardConnect Corp.,1614818
Cardiovascular Systems Inc,1180145
Cardtronics plc,1671013
"Care Capital Properties, Inc.",1639947
Care.com Inc,1412270
"CareDx, Inc.",1217234
"CareTrust REIT, Inc.",1590717
CareView Communications Inc,1377149
Carey Credit Income Fund,1618697
Carey Credit Income Fund - I,1618696
Carey Credit Income Fund 2016 T,1618694
Carey Watermark Investors 2 Inc,1609471
Carey Watermark Investors Inc,1430259
"Carlyle GMS Finance, Inc.",1544206
Carlyle Group L.P.,1527166
Caro Holdings Inc.,1678105
"Carolina Trust BancShares, Inc.",1676667
"Carroll Bancorp, Inc.",1515069
"Carter Validus Mission Critical REIT II, Inc.",1567925
"Carter Validus Mission Critical REIT, Inc.",1482974
"Cartesian, Inc.",1094814
"Cascadian Therapeutics, Inc.",1412067
Castle Brands Inc,1311538
"Catalent, Inc.",1596783
"CatchMark Timber Trust, Inc.",1341141
Cavendish Futures Fund LLC,1562622
"Cavitation Technologies, Inc.",1376793
Ceetop Inc.,1439254
Celanese Corp,1306830
Cell MedX Corp.,1493712
"Cell Source, Inc.",1569340
Cellceutix CORP,1355250
"Celldex Therapeutics, Inc.",744218
"Cellectar Biosciences, Inc.",1279704
"Cellular Biomedicine Group, Inc.",1378624
Celsion CORP,749647
"Celsius Holdings, Inc.",1341766
"Centennial Resource Development, Inc.",1658566
"CenterState Banks, Inc.",1102266
"Central Federal Bancshares, Inc",1651987
"Century Communities, Inc.",1576940
Cerecor Inc.,1534120
Cerulean Pharma Inc.,1401914
Champion Pain Care Corp,1469284
"Change Healthcare Holdings, Inc.",1444598
"Chanticleer Holdings, Inc.",1106838
"Chaparral Energy, Inc.",1346980
Chatham Lodging Trust,1476045
"Checkpoint Therapeutics, Inc.",1651407
"Chefs' Warehouse, Inc.",1517175
"ChemoCentryx, Inc.",1340652
Chemours Co,1627223
Chemtura CORP,1091862
"Cheniere Energy Partners LP Holdings, LLC",1582966
"Cheniere Energy Partners, L.P.",1383650
Cherry Hill Mortgage Investment Corp,1571776
Chesapeake Lodging Trust,1473078
Chess Supersite Corp,1586554
"Childrens Place, Inc.",1041859
"China Advanced Construction Materials Group, Inc",1392363
China Auto Logistics Inc,1355042
"China Biologic Products, Inc.",1369868
China Bull Management Inc,1510963
"China Carbon Graphite Group, Inc.",1284450
China Commercial Credit Inc,1556266
"China Elite Information Co., Ltd.",1077561
"China Green Agriculture, Inc.",857949
"China Health Industries Holdings, Inc.",1309057
China Herb Group Holdings Corp,1499785
China Lending Corp,1611852
"China Modern Agricultural Information, Inc.",1479526
"China Network Media, Inc.",1440760
China Senior Living Industry International Holding Corp,805729
China Shouguan Investment Holding Group Corp,1493893
"China United Insurance Service, Inc.",1512927
China XD Plastics Co Ltd,1353970
China Xuefeng Environmental Engineering Inc.,1518487
"China YCT International Group, Inc.",847464
"ChinaNet Online Holdings, Inc.",1376321
"Chineseinvestors.com, Inc.",1459482
ChromaDex Corp.,1386570
Chubb Ltd,896159
"Cidara Therapeutics, Inc.",1610618
Cincinnati Bancorp,1635484
Cinedigm Corp.,1173204
"Cinemark Holdings, Inc.",1385280
Ciner Resources LP,1575051
"Citadel Exploration, Inc.",1482075
"Citizens Independent Bancorp, Inc.",1553830
"City Office REIT, Inc.",1593222
Civeo Corp,1590584
"Classic Rules Judo Championships, Inc.",1445831
Clean Coal Technologies Inc.,1445109
Clean Energy Fuels Corp.,1368265
"CleanTech Biofuels, Inc.",1411036
"Cleantech Solutions International, Inc.,",819926
"Clear Channel Outdoor Holdings, Inc.",1334978
"Clearside Biomedical, Inc.",1539029
Clearwater Paper Corp,1441236
Cleco Corporate Holdings LLC,1089819
Clifton Bancorp Inc.,1592329
"Clovis Oncology, Inc.",1466301
"ClubCorp Holdings, Inc.",1577095
"CoLucid Pharmaceuticals, Inc.",1348649
"Coastway Bancorp, Inc.",1585023
"Cobalt International Energy, Inc.",1471261
"Cocrystal Pharma, Inc.",1412486
"Coeur Mining, Inc.",215466
"Cogint, Inc.",1460329
"CohBar, Inc.",1522602
"Coherus BioSciences, Inc.",1512762
"Cole Credit Property Trust V, Inc.",1580988
"Cole Office & Industrial REIT (CCIT II), Inc.",1572758
"Cole Office & Industrial REIT (CCIT III), Inc.",1614976
Colfax CORP,1420800
"Colony Capital, Inc.",1467076
Colony Starwood Homes,1579471
"Columbia Pipeline Group, Inc.",1629995
Columbia Pipeline Partners LP,1420783
CombiMatrix Corp,1383183
"CommScope Holding Company, Inc.",1517228
"Command Center, Inc.",1140102
"Commerce Union Bancshares, Inc.",1606440
"CommerceHub, Inc.",1665658
"Commercial Vehicle Group, Inc.",1290900
Commonwealth Income & Growth Fund VI,1351901
"Commonwealth Income & Growth Fund VII, LP",1450335
Community Bankers Trust Corp,1323648
Community Choice Financial Inc.,1528061
Community Healthcare Trust Inc,1631569
Compass Diversified Holdings,1345126
Compass Group Diversified Holdings LLC,1345122
"Computron, Inc.",1622867
"Comstock Holding Companies, Inc.",1299969
Comstock Mining Inc.,1120970
Conatus Pharmaceuticals Inc.,1383701
Concept Holding Corp.,1651932
ConforMIS Inc,1305773
"Conifer Holdings, Inc.",1502292
"ConnectOne Bancorp, Inc.",712771
"Consolidated Communications Holdings, Inc.",1304421
"Consumer Capital Group, Inc.",1439299
"Container Store Group, Inc.",1411688
"Contango ORE, Inc.",1502377
"Continental Building Products, Inc.",1592480
"ContraVir Pharmaceuticals, Inc.",1583771
Conyers Park Acquisition Corp.,1672985
Cooper-Standard Holdings Inc.,1320461
"CorEnergy Infrastructure Trust, Inc.",1347652
CorMedix Inc.,1410098
"Corbus Pharmaceuticals Holdings, Inc.",1595097
"Cord Blood America, Inc.",1289496
"Core-Mark Holding Company, Inc.",1318084
CoreSite Realty Corp,1490892
"Corindus Vascular Robotics, Inc.",1528557
Cornerstone OnDemand Inc,1401680
Cornerworld Corp,1338242
Corporate Capital Trust II,1617896
"Corporate Capital Trust, Inc.",1494538
"Corporate Office Properties, L.P.",1577966
Corporate Property Associates 17 - Global INC,1390213
Corvus Gold Inc.,1507964
"Corvus Pharmaceuticals, Inc.",1626971
Cosmos Holdings Inc.,1474167
"Cotiviti Holdings, Inc.",1657197
"County Bancorp, Inc.",1470205
Covisint Corp,1563699
"Creative Waste Solutions, Inc.",1385329
"Crescent Capital BDC, Inc.",1633336
Crestwood Equity Partners LP,1136352
Crestwood Midstream Partners LP,1304464
"Crexendo, Inc.",1075736
